0.3m Ceravolo, AP1600, Apache Ridge Observatory
:NODA
:EQUAT
35 33 15.84
17 44 55.46  +50 2 39.1  5 45 26.5  +129 57 48.0  23 54.7  WEST
17 2 16.01  +49 35 38.0  5 2 48.5  +130 26 6.0  23 55.52  WEST
19 49 4.08  +53 46 3.0  7 49 34.5  +126 10 45.0  23 56.5  WEST
21 50 10.79  +43 53 16.4  9 51 0.6  +136 0 50.0  23 57.43  WEST
16 35 41.35  +57 46 51.2  4 36 4.3  +122 15 39.0  23 58.41  WEST
18 46 43.28  +63 15 56.9  6 46 53.3  +116 42 38.0  23 59.22  WEST
17 20 56.69  +66 33 47.2  5 20 57.5  +113 27 24.0  0 0.06  WEST
15 37 45.77  +71 9 13.7  3 37 43.6  +108 54 50.0  0 0.91  WEST
18 39 4.72  +72 57 34.6  6 38 39.2  +107 1 15.0  0 1.86  WEST
21 29 46.39  +60 22 43.0  9 30 20.7  +119 31 45.0  0 2.73  WEST
21 14 46.57  +64 45 1.1  9 15 11.8  +115 9 44.0  0 3.52  WEST
18 5 59.93  +84 39 21.6  6 2 5.8  +95 20 31.0  0 5.43  WEST
22 19 31.51  +64 47 17.9  10 20 10.6  +115 6 23.0  0 6.48  WEST
END
