174,,3,3,31.996,,-10,58,30.27,,,-0.0017,,-0.109,,2000,,3.0588877778,-9.024925
39,,3,12,1.651,,-56,24,5.55,,,0.0027,,0.045,,2000,,3.2004586111,-55.5984583333
210,,3,19,44.907,,1,11,56.35,,,0.002,,0.011,,2000,,3.3291408333,1.1989861111
377,,3,20,22.407,,55,32,13.48,,,-0.0016,,0.001,,2000,,3.3395575,55.5370777778
157,,3,28,27.475,,-13,12,33.47,,,0.0001,,-0.038,,2000,,3.4742986111,-12.7907027778
91,,3,29,57.943,,-35,44,55.06,,,-0.0003,,-0.021,,2000,,3.4994286111,-34.2513722222
123,,3,32,26.385,,-24,36,59.1,,,0.0009,,0.013,,2000,,3.5406625,-23.3835833333
246,,3,33,21.194,,13,46,56.7,,,-0.0006,,-0.021,,2000,,3.5558872222,13.7824166667
395,,3,33,26.506,,65,33,7.03,,,-0.002,,-0.005,,2000,,3.5573627778,65.5519527778
63,,3,35,49.813,,-43,42,58.97,,,0.0014,,0.019,,2000,,3.5971702778,-42.2836194444
297,,3,37,11.037,,25,59,27.96,,,0.0175,,-0.271,,2000,,3.6197325,25.9911
342,,3,37,56.266,,37,25,51.2,,,0.0018,,-0.006,,2000,,3.6322961111,37.4308888889
355,,3,45,27.557,,47,39,37.25,,,0.0021,,-0.027,,2000,,3.7576547222,47.6603472222
193,,3,47,58.857,,-2,51,41.1,,,-0.0014,,0.002,,2000,,3.7996825,-1.1385833333
30,,4,0,44.84,,-58,39,42.21,,,0.0016,,0.015,,2000,,4.0124555556,-57.338275
229,,4,3,21.222,,3,11,16.18,,,0.0001,,0.009,,2000,,4.055895,3.1878277778
140,,4,9,58.777,,-19,0,10.27,,,-0.0011,,-0.022,,2000,,4.1663269444,-18.9971472222
314,,4,15,10.392,,29,54,7.39,,,0.0106,,-0.17,,2000,,4.2528866667,29.9020527778
78,,4,16,29.148,,-38,53,3.24,,,-0.0001,,-0.04,,2000,,4.2747633333,-37.1157666667
265,,4,17,43.025,,13,50,11.74,,,0.0045,,0.043,,2000,,4.2952847222,13.8365944444
108,,4,19,42.409,,-25,1,29.37,,,0.001,,-0.001,,2000,,4.3284469444,-24.975175
52,,4,21,3.781,,-48,48,40.48,,,-0.0018,,0.014,,2000,,4.3510502778,-47.1887555556
176,,4,21,35.195,,-8,6,30.95,,,-0.0009,,-0.005,,2000,,4.3597763889,-7.8914027778
329,,4,22,0.244,,39,56,2.25,,,-0.002,,-0.118,,2000,,4.3667344444,39.9339583333
282,,4,26,18.5,,21,28,13.55,,,0.0076,,-0.038,,2000,,4.4384722222,21.4704305556
212,,4,32,24.473,,0,58,48.46,,,0.0007,,-0.015,,2000,,4.5401313889,0.9801277778
368,,4,34,45.939,,50,7,28.19,,,0.0013,,-0.008,,2000,,4.5794275,50.1244972222
14,,4,46,37.505,,-68,32,45.72,,,-0.0021,,0.043,,2000,,4.7770847222,-67.4539666667
