!
!  TPOINT default star catalogue
!
!  P.T.Wallace   7 February 1996
!

!--------------------------------------------------------------

!
!  FK5, mag 5 or brighter, 20 deg pitch
!

000425  11 18 28.738  +33 05 39.44   -.0021  +.028  2000.0
000042  01 09 43.931  +35 37 13.95   +.0146  -.114  2000.0
000555  15 01 56.757  +40 23 26.10   -.0036  -.028  2000.0
001133  04 49 54.638  +37 29 17.81   -.0032  +.040  2000.0
000699  18 36 56.332  +38 47 01.17   +.0173  +.286  2000.0
000314  08 22 50.122  +43 11 17.31   -.0020  -.096  2000.0
001568  21 33 58.855  +45 35 30.63   -.0022  -.094  2000.0
000441  11 46 03.018  +47 46 45.90   -.0136  +.030  2000.0
001040  01 27 39.357  +45 24 24.24   +.0333  -.107  2000.0
001416  15 52 40.542  +42 27 05.64   +.0398  +.632  2000.0
000193  05 16 41.353  +45 59 52.90   +.0073  -.425  2000.0
000738  19 36 26.496  +50 13 15.80   -.0018  +.257  2000.0
000358  09 32 51.412  +51 40 38.38   -.1025  -.531  2000.0
000899  23 54 23.042  +57 29 57.88   -.0003  -.002  2000.0
000531  14 25 11.792  +51 51 02.77   -.0255  -.397  2000.0
000182  05 03 25.089  +60 26 32.04   -.0009  -.016  2000.0
000707  18 51 12.083  +59 23 18.13   +.0104  +.027  2000.0
000387  10 24 07.852  +65 33 59.01   -.0013  -.022  2000.0
000046  01 25 56.018  +68 07 48.05   +.0133  +.026  2000.0
000619  16 27 59.003  +68 46 05.31   -.0045  +.036  2000.0
000260  07 00 04.006  +76 58 38.73   +.0210  -.013  2000.0
000893  23 39 20.824  +77 37 56.80   -.0210  +.151  2000.0
000912  16 45 58.142  +82 02 14.22   +.0082  +.006  2000.0

!--------------------------------------------------------------

!
!  UK Schmidt stars
!

108963  23 58 29.645  +10 21 04.88  -0.0014 +0.002  1950.0
3718    01 16 25.668  -07 58 03.65  +0.0002 +0.010  1950.0
4609    02 41 11.010  -26 43 24.10  -0.0006 -0.023  1950.0
481     04 01 52.038  -44 16 27.70  +0.0000 +0.008  1950.0
6337    05 19 34.291  -61 13 02.62  +0.0027 +0.064  1950.0
19030   06 41 45.349  -81 37 54.01  +0.0000 +0.000  1950.0
19136   07 57 43.977  -71 51 40.83  -0.0008 -0.026  1950.0
7238    06 39 24.034  -54 25 12.84  -0.0018 +0.020  1950.0
6362    05 21 30.354  -36 25 02.94  -0.0001 -0.002  1950.0
5457    03 58 46.085  -17 30 15.47  +0.0010 -0.005  1950.0
4608    02 41 03.677  -00 33 20.19  -0.0023 -0.015  1950.0
092386  01 18 26.190  +18 03 12.83  -0.0018 -0.031  1950.0

075533  02 40 33.542  +26 42 54.97  -0.0009 -0.004  1950.0
111576  04 00 15.964  +08 00 10.01  -0.0007 +0.004  1950.0
6347    05 20 22.686  -10 36 46.25  +0.0008 +0.014  1950.0
7240    06 39 44.833  -27 41 32.47  -0.0005 +0.001  1950.0
957     08 00 42.014  -45 00 44.57  -0.0018 +0.026  1950.0
8991    09 20 40.759  -62 51 36.72  +0.0013 -0.018  1950.0
19364   10 39 47.013  -73 01 17.31  -0.0022 -0.010  1950.0
8976    09 19 05.546  -56 16 17.67  -0.0016 +0.018  1950.0
8139    08 01 35.054  -38 29 48.64  -0.0013 -0.006  1950.0
7233    06 39 15.302  -20 47 57.39  -0.0001 -0.012  1950.0
6356    05 20 55.570  -01 02 53.77  +0.0008 +0.009  1950.0
093731  03 59 20.000  +15 24 07.36  -0.0007 +0.005  1950.0

077112  05 17 06.477  +24 57 58.03  +0.0005 +0.009  1950.0
114303  06 39 48.901  +05 13 13.64  -0.0005 -0.005  1950.0
8113    07 59 03.915  -12 39 13.48  +0.0020 -0.001  1950.0
8990    09 20 38.591  -30 18 37.50  -0.0022 -0.021  1950.0
1272    10 41 18.364  -49 11 28.81  -0.0019 +0.005  1950.0
19475   11 58 23.843  -66 36 54.29  -0.0090 +0.002  1950.0
19590   13 19 47.029  -75 40 09.37  -0.0033 -0.024  1950.0
10692   11 56 30.596  -58 10 04.47  +0.0008 -0.009  1950.0
9861    10 39 56.738  -39 25 58.51  -0.0023 -0.004  1950.0
8986    09 20 15.010  -22 18 17.28  -0.0022 -0.009  1950.0
8143    08 01 41.195  -04 41 04.80  -0.0011 -0.003  1950.0
096020  06 39 38.465  +14 35 17.88  +0.0002 -0.013  1950.0

079889  07 59 55.541  +21 05 09.58  +0.0000 -0.005  1950.0
117644  09 20 49.014  +04 46 48.36  -0.0019 +0.007  1950.0
9844    10 38 22.906  -14 56 47.70  -0.0017 -0.006  1950.0
10738   12 00 51.378  -31 13 53.09  -0.0010 +0.019  1950.0
1595    13 22 16.425  -50 55 22.57  +0.0025 -0.017  1950.0
19702   14 39 54.710  -67 11 31.76  -0.0009 -0.010  1950.0
19821   16 02 25.841  -78 54 08.70  +0.0015 -0.009  1950.0
12476   14 41 43.620  -59 21 37.84  +0.0025 -0.003  1950.0
1589    13 18 49.842  -41 52 12.27  +0.0006 -0.010  1950.0
10752   12 02 07.081  -24 37 21.50  +0.0034 +0.003  1950.0
9875    10 41 22.493  -05 48 57.26  -0.0034 +0.020  1950.0
098550  09 21 36.858  +12 44 07.98  +0.0024 -0.025  1950.0

081472  10 38 42.885  +20 48 53.48  -0.0007 -0.023  1950.0
10747   12 01 39.518  +01 44 26.79  -0.0076 -0.029  1950.0
11603   13 20 29.806  -15 09 13.21  -0.0006 -0.004  1950.0
12442   14 38 21.629  -33 44 11.97  -0.0003 -0.028  1950.0
1904    15 56 43.324  -52 07 27.00  -0.0013 +0.010  1950.0
19930   17 23 09.753  -70 35 31.78  -0.0018 -0.036  1950.0
20043   18 38 52.427  -83 37 03.08  -0.0010 +0.020  1950.0
14187   17 22 01.786  -62 04 38.62  -0.0020 -0.031  1950.0
1916    16 03 18.065  -44 45 04.86  -0.0016 +0.003  1950.0
