!
!  TPOINT star catalogue:  Tycho-2, 20 deg pitch, 7-7.5 Mv
!
!  P T Wallace   29 July 2000
!
000081  18 40 29.712  +31 38 36.32   -.0005  +.002  2000.0
000082  08 09 39.760  +35 42 08.51   +.0008  -.047  2000.0
000083  21 39 53.762  +39 30 53.82   +.0043  +.003  2000.0
000084  11 18 28.723  +42 18 58.90   +.0068  -.031  2000.0
000085  01 19 03.141  +45 42 21.17   +.0001  +.005  2000.0
000086  15 13 58.932  +47 58 08.51   +.0027  -.017  2000.0
000087  05 15 15.459  +47 10 14.63   +.0088  -.107  2000.0
000088  19 34 45.538  +46 28 03.37   +.0010  +.024  2000.0
000089  09 30 38.313  +44 46 09.85   -.0053  -.030  2000.0
000090  23 31 25.543  +49 30 28.52   +.0022  +.012  2000.0
000091  13 30 12.661  +45 44 06.87   -.0038  +.001  2000.0
000092  03 12 11.336  +46 23 09.72   -.0032  -.035  2000.0
000093  17 02 15.978  +49 35 38.26   +.0008  -.014  2000.0
000094  07 11 31.541  +55 36 45.07   +.0014  -.024  2000.0
000095  21 29 46.408  +60 22 43.16   -.0001  -.003  2000.0
000096  12 20 35.813  +63 40 12.94   -.0017  -.002  2000.0
000097  03 52 41.850  +65 31 53.59   -.0004  -.003  2000.0
000098  18 44 35.359  +64 48 36.23   +.0063  +.074  2000.0
000099  09 46 02.759  +65 37 37.61   +.0020  -.020  2000.0
000100  00 01 35.973  +72 14 11.81   -.0097  +.004  2000.0
000101  15 21 30.281  +73 28 35.79   -.0272  +.084  2000.0
000102  07 16 00.404  +82 26 25.62   -.0071  -.005  2000.0
END
