Perfect stars, latitude +34.0 deg
:NODA
:ALLSKY
+34 00 00.0
19  17  15.417256  +16  26  28.12447  18  52  56.808  +16  36  1.88  0  0
18  35  31.062372  +17  04  02.04386  18  11  22.796  +17  12  36.14  0  0
05  32  38.769681  +18  00  37.10729  5  12  24.181  +18  7  34.99  0  0
04  50  32.830846  +18  38  30.45224  4  30  32.652  +18  44  27.75  0  0
04  08  17.559570  +19  16  32.19639  3  48  32.024  +19  21  28.63  0  0
03  25  52.538799  +19  54  42.71508  3  6  21.884  +19  58  38.0  0  0
02  43  17.338616  +20  33  02.39525  2  24  1.803  +20  35  56.24  0  0
02  00  31.515404  +21  11  31.63614  1  41  31.34  +21  13  23.75  0  0
01  17  34.610947  +21  50  10.85015  0  58  50.042  +21  51  0.93  0  0
00  34  26.151478  +22  29  00.46367  0  15  57.436  +22  28  48.21  0  0
23  51  05.646645  +23  08  00.91802  23  25  45.722  +23  6  58.23  0  0
23  07  32.588406  +23  47  12.67043  22  42  21.88  +23  45  7.53  0  0
22  23  46.449845  +24  26  36.19514  21  58  45.242  +24  23  28.28  0  0
21  39  46.683886  +25  06  11.98450  21  14  55.268  +25  2  0.97  0  0
20  55  32.721915  +25  46  00.55028  20  30  51.391  +25  40  46.11  0  0
20  11  03.972283  +26  26  02.42495  19  46  33.026  +26  19  44.22  0  0
19  26  19.818691  +27  06  18.16318  19  1  59.56  +26  58  55.84  0  0
18  41  19.618435  +27  46  48.34341  18  17  10.356  +27  38  21.56  0  0
06  18  43.292276  +28  07  09.03695  5  58  10.743  +27  58  3.93  0  0
17  56  02.700497  +28  27  33.56955  17  32  4.749  +28  18  1.97  0  0
05  33  17.754457  +28  48  02.02099  5  13  0.45  +28  37  51.65  0  0
04  47  34.434761  +29  29  11.00871  4  27  32.689  +29  17  55.01  0  0
04  01  32.581903  +30  10  36.67629  3  41  46.716  +29  58  14.66  0  0
03  15  11.408157  +30  52  19.73266  2  55  41.75  +30  38  51.32  0  0
02  28  30.086532  +31  34  20.92212  2  9  16.97  +31  19  45.7  0  0
01  41  27.747657  +32  16  41.02711  1  22  31.515  +32  0  58.59  0  0
00  54  03.476368  +32  59  20.87127  0  35  24.479  +32  42  30.8  0  0
00  06  16.307941  +33  42  21.32285  -0  12  5.093  +33  24  23.17  0  0
23  18  05.223923  +34  25  43.29847  22  52  54.146  +34  6  48.75  0  0
22  29  29.147530  +35  09  27.76722  22  4  28.408  +34  49  24.74  0  0
21  40  26.938520  +35  53  35.75533  21  15  36.923  +35  32  23.76  0  0
20  50  57.387505  +36  38  08.35125  20  26  18.493  +36  15  46.89  0  0
20  00  59.209588  +37  23  06.71137  19  36  31.842  +36  59  35.26  0  0
19  10  31.037249  +38  08  32.06648  18  46  15.616  +37  43  50.08  0  0
06  45  05.251285  +38  31  25.27384  6  24  22.604  +38  6  2.6  0  0
18  19  31.412365  +38  54  25.72887  17  55  28.366  +38  28  32.64  0  0
05  53  49.322590  +39  17  33.60967  5  33  23.642  +38  50  59.29  0  0
17  27  58.777215  +39  40  49.10051  17  4  8.549  +39  13  44.32  0  0
05  01  59.564299  +40  04  12.39213  4  41  51.322  +39  36  25.83  0  0
04  09  34.249850  +40  51  23.17513  3  49  43.935  +40  22  23.72  0  0
03  16  31.525098  +41  39  07.62741  2  56  59.648  +41  8  54.59  0  0
02  22  49.394336  +42  27  27.54510  2  3  36.489  +41  56  0.19  0  0
01  28  25.704314  +43  16  24.86612  1  9  32.333  +42  43  42.4  0  0
