!
!  TPOINT star catalogue:  Tycho-2, 10 deg pitch, 7.0-7.5 Mv
!
!  P T Wallace   29 July 2000
!
000081  18 57 04.278  -38 54 51.99   -.0007  -.013  2000.0
000082  07 49 52.219  -40 54 52.34   -.0001  +.008  2000.0
000083  20 34 54.591  -41 59 13.05   +.0017  -.026  2000.0
000084  09 39 47.531  -40 49 20.94   -.0051  +.050  2000.0
000085  22 25 06.244  -37 49 45.12   +.0000  -.040  2000.0
000086  11 15 49.017  -39 19 24.63   -.0151  +.189  2000.0
000087  00 13 13.807  -37 49 22.34   -.0008  -.003  2000.0
000088  13 00 03.055  -36 10 55.86   +.0006  -.028  2000.0
000089  01 51 52.212  -37 02 31.06   +.0018  +.043  2000.0
000090  14 38 55.956  -35 36 02.25   -.0026  -.212  2000.0
000091  03 29 57.943  -35 44 55.06   -.0003  -.021  2000.0
000092  16 18 14.121  -34 54 53.05   -.0027  -.006  2000.0
000093  05 10 58.929  -34 54 13.58   +.0002  +.010  2000.0
000094  17 55 15.196  -34 14 08.04   +.0005  -.002  2000.0
000095  06 46 13.627  -34 14 34.20   -.0003  +.017  2000.0
000096  19 22 25.665  -31 56 11.83   -.0004  -.009  2000.0
000097  08 10 51.429  -32 22 46.45   -.0015  +.038  2000.0
000098  20 53 11.048  -31 30 54.29   +.0053  -.065  2000.0
000099  09 40 16.903  -30 55 18.27   -.0011  +.003  2000.0
000100  22 31 01.064  -31 01 32.48   +.0032  -.041  2000.0
000101  11 12 18.991  -29 46 57.00   -.0004  +.000  2000.0
000102  00 01 21.233  -28 43 30.07   -.0031  -.016  2000.0
000103  12 30 55.399  -30 40 39.16   +.0006  -.012  2000.0
000104  01 31 53.532  -27 42 11.30   +.0010  -.010  2000.0
000105  14 04 26.593  -29 03 46.00   -.0012  -.010  2000.0
000106  02 52 31.792  -27 57 27.60   -.0004  +.008  2000.0
000107  15 36 12.903  -28 59 55.88   -.0009  -.008  2000.0
000108  04 19 42.409  -25 01 29.37   +.0010  -.001  2000.0
