!
!  TPOINT star catalogue:  Tycho-2, 15 deg pitch, 7-7.5 Mv
!
!  P T Wallace   29 July 2000
!
000001  00 11 36.694  -80 10 25.44   -.0042  +.013  2000.0
000002  17 57 44.749  -83 14 08.27   +.0013  -.093  2000.0
000003  13 14 25.491  -75 10 16.18   -.0014  -.004  2000.0
000004  05 01 09.457  -74 20 27.29   +.0033  +.012  2000.0
000005  19 28 11.011  -73 05 26.26   -.0001  -.076  2000.0
000006  09 20 25.342  -75 42 48.33   -.0010  +.014  2000.0
000007  01 59 35.809  -65 26 53.46   +.0188  +.071  2000.0
000008  16 13 27.995  -64 59 08.36   -.0023  -.009  2000.0
000009  06 34 33.691  -61 29 45.53   +.0028  +.049  2000.0
000010  20 39 21.614  -61 32 08.26   +.0012  -.005  2000.0
000011  10 27 34.478  -63 01 21.14   -.0056  +.020  2000.0
000012  23 56 08.692  -62 52 20.64   +.0016  +.008  2000.0
000013  13 54 43.334  -61 20 04.16   -.0023  -.009  2000.0
000014  04 10 07.403  -61 35 56.21   +.0016  -.079  2000.0
000015  18 40 21.022  -58 46 47.64   -.0005  -.013  2000.0
000016  08 33 05.542  -56 23 47.81   -.0010  +.004  2000.0
000017  22 17 14.772  -54 19 16.75   +.0068  -.021  2000.0
000018  11 50 04.428  -51 42 02.46   -.0026  +.000  2000.0
000019  01 14 20.772  -50 24 58.83   -.0004  +.002  2000.0
000020  14 52 29.368  -48 14 49.41   +.0015  +.002  2000.0
000021  04 11 03.088  -46 56 29.04   -.0026  -.110  2000.0
000022  17 31 56.625  -46 05 31.26   -.0004  -.009  2000.0
000023  06 57 56.953  -49 08 48.24   -.0010  +.023  2000.0
000024  20 29 38.524  -46 09 04.84   +.0009  -.019  2000.0
000025  09 56 21.725  -47 45 14.04   -.0021  +.007  2000.0
000026  23 48 55.826  -46 50 31.68   +.0012  +.008  2000.0
000027  13 18 43.159  -49 52 41.81   -.0010  -.002  2000.0
000028  02 51 58.230  -49 52 12.92   +.0045  -.046  2000.0
000029  16 07 44.055  -46 31 31.24   -.0014  -.043  2000.0
000030  05 46 58.086  -45 38 50.65   +.0081  +.129  2000.0
000031  19 06 43.913  -42 48 53.22   +.0003  -.053  2000.0
000032  08 23 47.738  -42 02 01.93   -.0010  -.004  2000.0
000033  21 36 23.279  -40 19 48.83   -.0008  -.009  2000.0
000034  10 49 21.085  -39 10 13.12   -.0033  +.015  2000.0
000035  00 03 26.278  -36 15 04.30   +.0058  +.005  2000.0
000036  13 06 56.319  -34 07 19.01   -.0175  -.089  2000.0
000037  02 13 30.476  -33 20 07.03   +.0024  +.018  2000.0
000038  15 25 03.261  -32 09 22.31   -.0038  -.019  2000.0
000039  04 37 05.636  -30 25 45.30   -.0001  +.027  2000.0
000040  17 52 17.064  -31 19 41.32   -.0013  -.013  2000.0
000041  07 04 44.451  -31 56 43.62   -.0016  +.008  2000.0
000042  20 19 37.489  -31 43 46.10   -.0018  -.006  2000.0
000043  09 27 14.166  -33 47 28.85   -.0029  -.040  2000.0
000044  22 40 55.171  -31 59 24.21   +.0271  +.021  2000.0
000045  11 50 42.009  -33 08 28.41   -.0122  +.009  2000.0
000046  01 12 46.718  -35 12 20.01   +.0011  -.014  2000.0
000047  14 08 21.693  -33 03 10.59   -.0029  -.012  2000.0
000048  03 28 54.687  -33 39 19.06   +.0043  -.005  2000.0
000049  16 45 19.007  -30 48 24.26   -.0011  +.010  2000.0
000050  05 49 07.296  -32 30 15.69   -.0007  -.004  2000.0
000051  19 05 46.902  -29 04 52.06   +.0000  -.007  2000.0
000052  08 22 06.735  -28 37 26.23   +.0012  -.001  2000.0
000053  21 30 44.238  -25 42 34.89   -.0003  +.009  2000.0
000054  10 37 35.786  -23 22 55.99   -.0040  -.013  2000.0
000055  23 39 41.565  -22 32 00.21   +.0021  -.027  2000.0
000056  12 45 52.579  -21 46 05.77   +.0001  -.011  2000.0
000057  01 42 35.767  -20 10 21.24   +.0003  -.007  2000.0
000058  14 49 27.651  -19 54 12.90   +.0002  +.004  2000.0
000059  03 50 13.905  -18 44 45.67   -.0008  -.008  2000.0
000060  16 50 55.478  -16 32 48.93   -.0004  -.013  2000.0
000061  05 52 12.688  -19 03 13.72   -.0002  +.009  2000.0
000062  18 53 00.442  -16 22 53.28   +.0002  -.005  2000.0
000063  07 56 39.848  -16 31 53.36   -.0064  -.043  2000.0
000064  20 45 23.043  -15 02 04.90   +.0025  +.019  2000.0
000065  09 46 14.503  -14 35 23.94   -.0027  -.002  2000.0
000066  22 45 28.001  -15 35 00.23   +.0014  -.037  2000.0
000067  11 51 02.739  -13 19 23.73   -.0003  +.002  2000.0
000068  00 45 59.230  -16 39 09.18   +.0032  +.024  2000.0
000069  13 53 51.693  -14 39 50.98   +.0010  -.020  2000.0
000070  02 59 55.391  -13 41 00.38   +.0003  +.008  2000.0
000071  15 58 26.674  -13 26 33.95   -.0007  -.038  2000.0
000072  04 58 36.275  -14 47 02.71   +.0010  +.009  2000.0
000073  18 00 26.840  -12 59 17.22   +.0000  -.009  2000.0
000074  06 52 54.688  -12 09 16.28   -.0003  +.006  2000.0
000075  19 51 42.718  -10 56 57.08   +.0052  +.017  2000.0
000076  09 00 32.920  -12 08 26.51   -.0024  -.028  2000.0
000077  22 03 00.934  -08 30 00.08   +.0012  -.003  2000.0
000078  10 59 17.850  -10 19 31.59   -.0018  +.001  2000.0
000079  00 05 28.243  -07 39 55.52   +.0013  -.038  2000.0
000080  13 09 46.252  -07 39 19.48   -.0034  -.017  2000.0
000081  02 06 14.627  -04 21 54.14   -.0028  -.014  2000.0
000082  15 09 34.619  -05 23 41.81   -.0114  -.064  2000.0
000083  04 10 44.518  -04 52 29.49   +.0046  -.144  2000.0
000084  17 19 21.298  -02 44 56.98   +.0002  -.010  2000.0
000085  06 08 56.700  -02 02 13.34   +.0015  -.016  2000.0
000086  19 05 15.620  -00 56 08.74   -.0001  -.010  2000.0
000087  08 06 26.322  -02 23 37.77   -.0006  -.003  2000.0
000088  21 16 34.461  -00 37 18.18   +.0003  -.010  2000.0
000089  10 22 03.416  -00 45 05.55   -.0013  -.009  2000.0
000090  23 15 58.327  -01 25 26.01   +.0018  -.005  2000.0
000091  12 08 00.589  +00 37 16.68   -.0005  -.025  2000.0
000092  01 20 53.088  -01 18 38.11   +.0026  +.008  2000.0
000093  14 09 53.800  -00 39 04.81   -.0023  -.015  2000.0
000094  03 12 02.120  +00 06 27.62   -.0010  +.004  2000.0
000095  16 13 11.218  -00 31 08.89   -.0039  -.019  2000.0
000096  05 15 11.877  +01 33 22.15   +.0001  +.005  2000.0
